Date,Close,Log_Close,Log_Volume,Volume,HL_Ratio,OC_Ratio,RSI,MACD,BB_Width,ATR,Volume_Ratio,Price_Change_3d,Macro_DXY_Zscore,Macro_DXY_MA5,Macro_DXY_Trend,Macro_Gold_Zscore,Macro_Gold_MA5,Macro_Gold_Trend,Day_Sin,Day_Cos,Month_Sin,Month_Cos
2023-07-05,239.08108520507812,5.4768027630334135,19.936908931082275,455501209,0.02819544385399981,0.014298061233750593,41.40978691310683,0.1543772633433207,20.26069238676064,8.326732090541295,0.9158723965519566,-0.029143566738929594,0.0,0.0,-1,0.0,0.0,-1,0.9749279121818236,-0.22252093395631434,-0.4999999999999997,-0.8660254037844388
2023-07-06,232.31942749023438,5.448113267317944,20.099895941207485,536134671,0.051355422814389165,0.02905094853390603,42.653664773306076,-0.46195319407863167,21.76791914193609,8.024091448102679,1.0728724157083278,-0.057077130261186326,0.0,0.0,-1,0.0,0.0,-1,0.43388373911755823,-0.900968867902419,-0.4999999999999997,-0.8660254037844388
2023-07-07,235.62115478515625,5.462225238854924,19.85198877822003,418416864,0.01881571343199452,-0.013953479637044392,42.18166015471814,-0.7121508747816847,22.024317366349123,7.718263898577009,0.8401146655244209,-0.02833800318348534,0.0,0.0,-1,0.0,0.0,-1,-0.433883739117558,-0.9009688679024191,-0.4999999999999997,-0.8660254037844388
2023-07-08,236.28738403320312,5.465048793149317,19.581643997174915,319300746,0.011743178866708039,-0.0028656799693645534,49.627421485457724,-0.85248608565729,22.098878334864196,6.742613656180246,0.6445311368871031,-0.011685161833185687,0.0,0.0,-1,0.0,0.0,-1,-0.9749279121818236,-0.2225209339563146,-0.4999999999999997,-0.8660254037844388
2023-07-09,234.22836303710938,5.456296549881722,19.483071460743485,289327973,0.015128280128387617,0.008821274247755268,45.31514403471288,-1.0929705794903555,22.5763621115085,6.550246102469308,0.5881719520146602,0.00821685714146847,0.0,0.0,-1,0.0,0.0,-1,-0.7818314824680299,0.6234898018587334,-0.4999999999999997,-0.8660254037844388
2023-07-10,245.874267578125,5.504820297866454,20.541853803210934,834091613,0.05812779701340779,-0.047346604263127534,58.300488338217065,-0.4576729914190878,22.100626522846937,7.079862322126116,1.63629025243701,0.043515247187026596,0.0,0.0,-1,0.0,0.0,-1,0.0,1.0,-0.4999999999999997,-0.8660254037844388
2023-07-11,248.538330078125,5.515597079429249,20.100070706647678,536228377,0.01716591536650318,-0.010630389788735508,59.20825268505346,0.22929877984242353,21.83648812713892,6.967977251325335,1.0710143008011324,0.05184765193896412,0.0,0.0,-1,0.0,0.0,-1,0.7818314824680298,0.6234898018587336,-0.4999999999999997,-0.8660254037844388
2023-07-12,244.01988220214844,5.49724970640856,20.04083928652255,505389150,0.030888026059387997,0.018515719680614544,61.59480683504524,0.44159028969002634,22.16311123295759,6.748994009835379,1.0303732326418298,0.0418033027173903,0.0,0.0,-1,0.0,0.0,-1,0.9749279121818236,-0.22252093395631434,-0.4999999999999997,-0.8660254037844388
2023-07-13,256.48968505859375,5.547088449605696,20.450342296935563,761150982,0.05542482772045108,-0.04868600182708295,67.21718019714655,1.493622477748744,26.453696152505586,7.347749982561384,1.5105468960607538,0.04317417021728698,0.0,0.0,-1,0.0,0.0,-1,0.43388373911755823,-0.900968867902419,-0.4999999999999997,-0.8660254037844388
2023-07-14,248.19161987304688,5.51420110859473,20.499457801161288,799468588,0.06779815862864473,0.033331435654612475,55.692624991615624,1.6989035938408108,27.06989966175189,7.898786272321429,1.549586053129876,-0.001394996920471514,0.0,0.0,-1,0.0,0.0,-1,-0.433883739117558,-0.9009688679024191,-0.4999999999999997,-0.8660254037844388
